iter	Logloss
0	0.3008623131
1	0.134309284
2	0.05865204282
3	0.0311559713
4	0.02344908874
5	0.01710032622
6	0.01431174014
7	0.0126350936
8	0.01041494385
9	0.009681437795
10	0.00895513017
11	0.008384840958
12	0.007869281037
13	0.007569692471
14	0.007348696178
15	0.007034899689
16	0.006754708492
17	0.00657913304
18	0.006317160675
19	0.006252828037
20	0.006038604465
21	0.005943496428
22	0.005810738607
23	0.005594466801
24	0.005489595631
25	0.005390305809
26	0.005226792102
27	0.005170600658
28	0.005018094364
29	0.004937318196
30	0.004851271403
31	0.004777741267
32	0.004725992207
33	0.004676094587
34	0.004621375323
35	0.004559249523
36	0.004516636261
37	0.004467578319
38	0.004445714397
39	0.004415347628
40	0.004355060723
41	0.004307249792
42	0.004260191139
43	0.004172326491
44	0.004129590807
45	0.004040735643
46	0.004003476786
47	0.003944736268
48	0.003906831947
49	0.003889503208
50	0.003869842516
51	0.003837921934
52	0.003822152891
53	0.003786227549
54	0.003749752793
55	0.003692255518
56	0.003671705232
57	0.003637141757
58	0.003613797686
59	0.003593291357
60	0.003565815484
61	0.003542549319
62	0.00347891357
63	0.003403670533
64	0.003362523922
65	0.003288612751
66	0.003249173788
67	0.003219572176
68	0.003173638858
69	0.003152797479
70	0.003123431758
71	0.003113132005
72	0.003088044645
73	0.003058135592
74	0.003018959945
75	0.003003948653
76	0.002985825436
77	0.002961351335
78	0.00293626939
79	0.002922052192
80	0.002894770795
81	0.002885638406
82	0.002870520395
83	0.002843439035
84	0.002823169344
85	0.002797101914
86	0.002783739048
87	0.00277450469
88	0.002756177307
89	0.00272984664
90	0.002714596331
91	0.002700535437
92	0.002688289469
93	0.002672136217
94	0.002657890967
95	0.002649664704
96	0.002629864035
97	0.002614578702
98	0.002590444026
99	0.002587901154
100	0.002556761434
101	0.002553797346
102	0.002541140806
103	0.002522069162
104	0.002504358369
105	0.002498098611
106	0.002488058132
107	0.002476891053
108	0.002467959594
109	0.002463395481
110	0.002455698817
111	0.002447123412
112	0.002435111162
113	0.002419863364
114	0.002413645201
115	0.002406181463
116	0.002402173101
117	0.002355517848
118	0.00234358388
119	0.002310859737
120	0.002293567873
121	0.002290954357
122	0.002275274666
123	0.002269652234
124	0.002265741575
125	0.002255950735
126	0.002240600506
127	0.002233430923
128	0.002229545123
129	0.00222413148
130	0.002216223429
131	0.002207994976
132	0.00218744831
133	0.002182889849
134	0.002177012696
135	0.002173222278
136	0.002164745968
137	0.002157424152
138	0.002151024984
139	0.002142726241
140	0.002133200523
141	0.00212480892
142	0.002122367263
143	0.002117897023
144	0.002112622249
145	0.002109498815
146	0.002106166066
147	0.002092209175
148	0.002087840363
149	0.00208171668
150	0.002071109742
151	0.002055420228
152	0.002046139911
153	0.002039745398
154	0.002037946921
155	0.002028955882
156	0.002024583599
157	0.002015046583
158	0.002003855777
159	0.001996882415
160	0.001994494554
161	0.001978787134
162	0.001973989537
163	0.001968716993
164	0.00196374311
165	0.001962098624
166	0.001958850783
167	0.001939230845
168	0.001936348564
169	0.001931242077
170	0.001925659966
171	0.001920311275
172	0.001919232597
173	0.001909775779
174	0.001905503457
175	0.001892085532
176	0.001881609218
177	0.001875895963
178	0.001870157357
179	0.001868279531
